New Summary ID,Narrative Element,Page,Section / Component,Name,Combined Name,Length,Purpose,Example,# DataPoints
105,Progress,Progress Report Detail Page,Report Section,Market Comp Effectiveness,Progress Report Detail Page- Report Section- Market Comp Effectiveness,1 Paragraph,"Analyze how the story compares to successful similar works, to gauge market potential.",,11
106,Recap,-,Recap Report Section,Character Progress,-- Recap Report Section- Character Progress,1-2 paragraphs,"Synthesize character development so far, to guide next steps and maintain consistency.",,0
107,Recap,-,Recap Report Section,Plot & Theme Progress,-- Recap Report Section- Plot & Theme Progress,1-2 paragraphs,"Assess progress on plot events and thematic resonance, to ensure narrative cohesion.",,0
108,Recap,-,Recap Report Section,Worldbuilding Progress,-- Recap Report Section- Worldbuilding Progress,1-2 paragraphs,"Evaluate establishment of story world details and rules, to create an immersive setting.",,0
109,Recap,-,Recap Report Section,Identity Progress,-- Recap Report Section- Identity Progress,1-2 paragraphs,"Reflect on advancement of writer's voice and goals, to foster creative growth.",,0
110,Season,Season Detail Page,"Header, Season Card",Season Logline,"Season Detail Page- Header, Season Card- Season Logline",1 sentence,"Encapsulate the primary focus and arc of the season, to plan long-term story progression. Spark interest in the story's main character and conflict, to guide development and pitching.",,9
111,Season,Season Goal Page,Season Goal,Season Goal Summary,Season Goal Page- Season Goal- Season Goal Summary,1 sentence to 1 paragraph,"Distill the season's core emotional and intellectual aims, to focus the narrative.",,6
112,Season,Season Goal Page,Season Goal,Season Audience Promise,Season Goal Page- Season Goal- Season Audience Promise,1 paragraph,"Express what the season will make the audience think and feel, to set expectations and test ideas.",,7
113,Sequence,Sequence Detail Page,"Header, Sequence Card",Sequence Type,"Sequence Detail Page- Header, Sequence Card- Sequence Type",1 brief phrase,"Identify the story function of the sequence (e.g. Inciting Incident, Midpoint, etc.), to structure the narrative.",,1
114,Sequence,Sequence Detail Page,"Header, Sequence Card",Sequence Action-based Title,"Sequence Detail Page- Header, Sequence Card- Sequence Action-based Title",1 brief title,"Highlight the main event or turning point of the sequence, to orient the writer.",Walder Frey massacres the Starks,1
115,Sequence,Sequence Detail Page,"Header, Sequence Card",Sequence Purpose,"Sequence Detail Page- Header, Sequence Card- Sequence Purpose",1 sentence,"Express what the sequence needs to accomplish in the overall story, to convey its function.",,5
116,Sequence,Sequence Detail Page,"Header, Sequence Card",Card Summary Audience Reaction,"Sequence Detail Page- Header, Sequence Card- Card Summary Audience Reaction",1 brief sentence,"Describe the intended emotional impact on the audience, to create a compelling experience.",,1
117,Sequence,Sequence Detail Page,Arc Summary,Arc Summary,Sequence Detail Page- Arc Summary- Arc Summary,1 paragraph,"Provide an overview of the sequence's main conflict, character development, and central theme.","In this sequence, the protagonist's investigation leads to a series of narrow escapes, a betrayal by an ally, and a devastating revelation, testing her resilience and resolve to continue fighting for the truth.",6
118,Sequence,Sequence Detail Page,,Goal,Sequence Detail Page- - Goal,1 sentence,Clarify what the protagonist hopes to achieve in this sequence.,Protagonist aims to decrypt the stolen data before the antagonist can use it.,1
119,Sequence,Sequence Detail Page,,Obstacle,Sequence Detail Page- - Obstacle,1 sentence,Identify the main challenge or adversary blocking the protagonist from their goal.,"The encrypted data is booby-trapped, threatening to erase itself if the protagonist makes a mistake.",1
120,Sequence,Sequence Detail Page,,Major Choice,Sequence Detail Page- - Major Choice,1 sentence,Present a key decision that will significantly impact the protagonist and story.,Protagonist must choose between saving the data or rescuing her captured ally.,2
121,Sequence,Sequence Detail Page,,Favorite Moment,Sequence Detail Page- - Favorite Moment,1 sentence,"Spotlight an exciting, emotional, or memorable scene within the sequence. If available, be sure to include the expected reaction from the audience.","The daring airfield escape, where the protagonist outwits her pursuers at the last second.",1
122,Sequence,Sequence Detail Page,,Plot Impact,Sequence Detail Page- - Plot Impact,1 sentence,Convey how the events of this sequence change the direction or raise the stakes of the plot.,"The decrypted data reveals the antagonist's end game, forcing the protagonist to go on the offensive.",1
123,Sequence,Sequence Detail Page,,Character Impact,Sequence Detail Page- - Character Impact,1 sentence,"Show how the sequence's events affect the protagonist's arc, relationships, or inner conflict.",The ally's betrayal leaves the protagonist questioning who she can trust.,1
124,Sequence,Sequence Detail Page,,Audience Learns,Sequence Detail Page- - Audience Learns,1 sentence,"Capture the key information, theme, or emotion conveyed to the audience.",The audience learns the true scope of the conspiracy and the personal toll it's taking on the protagonist.,6
125,Series,Series Detail Page,"Header, Series Card",Series Logline,"Series Detail Page- Header, Series Card- Series Logline",1 sentence,"Distill the main concept and arc of the story unit, to guide development. Spark interest in the story's main character and conflict, to guide development and pitching.",,11
126,Series,Series Goal Page,Series Goal,Series Goal Summary,Series Goal Page- Series Goal- Series Goal Summary,1 sentence to 1 paragraph,"Distill the series' core emotional and intellectual aims, to focus the narrative.",,6
127,Series,Series Goal Page,Series Goal,Series Audience Promise,Series Goal Page- Series Goal- Series Audience Promise,1 paragraph,"Express what the series will make the audience think and feel, to set expectations and test ideas.",,7
128,Setting,-,Setting Card,Setting Card Title,-- Setting Card- Setting Card Title,1 brief title,"Name the primary location or time period of the setting, to establish the story world.",,3
129,Setting,-,Setting Card,Setting Card Summary,-- Setting Card- Setting Card Summary,1 brief sentence,"Describe the key details and mood of the setting, to immerse the writer in the world.",,3
130,Settings,Settings Detail Page,-,Key Locations Item,Settings Detail Page- -- Key Locations Item,1 sentence,Identify a pivotal or iconic location that embodies the story's atmosphere and world.,"The haunted, mist-shrouded ruins of the ancient fortress serve as both a memorable setpiece and a symbol of the kingdom's dark past.",1
131,Settings,Settings Detail Page,-,Key Locations Item - Significance,Settings Detail Page- -- Key Locations Item - Significance,1 sentence,"Explain the location's relevance to the plot, characters, or themes.","The fortress is where the knight's redemption arc reaches its climax, as he confronts the literal and metaphorical ghosts of his past.",2
132,Settings,Settings Detail Page,Details,Time,Settings Detail Page- Details- Time,1 sentence,Establish the story's primary time period or temporal context.,"The story unfolds in a fantastical version of the High Middle Ages, with echoes of the Crusades and the Norman Conquest.",1
133,Settings,Settings Detail Page,Details,Language,Settings Detail Page- Details- Language,1 sentence,Note the presence of any constructed languages or real-world linguistic influences.,"Characters speak in a elevated, faux-medieval English register, with occasional Latin phrases for religious rites and magic spells.",1
134,Settings,Settings Detail Page,Details,Geography,Settings Detail Page- Details- Geography,1 sentence,Describe the defining features of the story's physical landscape and climate.,"A patchwork of dense forests, mist-cloaked mountains, and stark, windswept plains, all dominated by the looming ruins of ancient castles.",4
135,Settings,Settings Detail Page,Society,Cultural Norms,Settings Detail Page- Society- Cultural Norms,1 sentence,Encapsulate the society's shared values and normal behaviors that shape characters.,"Society is structured by rigid hierarchies, fiercely defended honor culture, and unquestioning faith in authority.",1
136,Settings,Settings Detail Page,Society,Cultural Norms - Significance,Settings Detail Page- Society- Cultural Norms - Significance,1 sentence,"Explain how key cultural norms influence character goals, conflicts, or fates.",The knight's secret shame isolates him from the very culture of glory he's desperate to win back through his quest.,1
137,Settings,Settings Detail Page,Society,Social Dynamics,Settings Detail Page- Society- Social Dynamics,1 sentence,Highlight how different groups relate to and perceive each other in the world.,"Tensions simmer between the conquering nobility and the resentful indigenous peasantry, with the clergy serving as uneasy mediators.",1
138,Settings,Settings Detail Page,Society,Social Dynamics - Significance,Settings Detail Page- Society- Social Dynamics - Significance,1 sentence,"Explain how social dynamics affect key relationships, conflicts, or plot points.",The protagonist's unlikely friendship with an oppressed peasant boy both reflects and challenges the era's social barriers.,1
139,Settings,Settings Detail Page,-,Key Historical Event,Settings Detail Page- -- Key Historical Event,1 sentence,Identify a historical event that shapes the story's present and echoes its themes.,"The kingdom was forged through a brutal war of conquest a generation ago, with the sins of the past still haunting the present.",1
140,Settings,Settings Detail Page,-,Key Historical Event - Significance,Settings Detail Page- -- Key Historical Event - Significance,1 sentence,"Explain how the historical event influences characters, conflicts, or themes.",The knight's guilt over his role in the conquest sets up his central conflict and foreshadows the story's examination of inherited trauma.,1
141,Settings,Settings Detail Page,Sensory,Visual,Settings Detail Page- Sensory- Visual,1 sentence,Describe an iconic visual that encapsulates the story's aesthetic and atmosphere.,"A lone knight riding across a bleak, misty moor, his armor tarnished and his banner tattered, the ruins of a great castle looming in the distance.",5
142,Settings,Settings Detail Page,Sensory,Sounds,Settings Detail Page- Sensory- Sounds,1 sentence,Evoke a sound that characterizes the story's world and tone.,"The constant keening of the wind over the moors, punctuated by the ominous thunder of hoofbeats and the distant clash of swords.",2
143,Settings,Settings Detail Page,Sensory,Smells,Settings Detail Page- Sensory- Smells,1 sentence,Conjure a scent that brings the story's setting to life through specific details.,"The earthy musk of damp forest floors mingles with the metallic tang of blood and steel and the cold, sharp scent of coming rain.",2
144,Story,Story Detail Page,Header,Story Logline,Story Detail Page- Header- Story Logline,1 sentence,"Provide a concise, compelling summary of the main story concept to guide development and pitch to others.",,11
145,"Story (aka episode, novel)",Story Goal Page,Story Goal,Story Goal Summary,Story Goal Page- Story Goal- Story Goal Summary,1 sentence to 1 paragraph,"Distill the story's core emotional and intellectual aims, to focus the narrative.",,3
146,"Story (aka episode, novel)",Story Goal Page,Story Goal,Story Audience Promise,Story Goal Page- Story Goal- Story Audience Promise,1 paragraph,"Express what the story will make the audience think and feel, to set expectations and test ideas.",,3
147,Target Audience,Target Audience Detail Page,Audience Likes,Major Likes,Target Audience Detail Page- Audience Likes- Major Likes,1 brief sentence,"Identify the main things this audience enjoys in stories, to incorporate into development.",,1
148,Target Audience,Target Audience Detail Page,Audience Dislikes,Major Dislikes,Target Audience Detail Page- Audience Dislikes- Major Dislikes,1 brief sentence,"Recognize the elements this audience doesn't resonate with, to strategically avoid.",,1
149,Target Audience,Target Audience Detail Page,"Header, Target Audience Card",Target Audience Card Summary,"Target Audience Detail Page- Header, Target Audience Card- Target Audience Card Summary",1 brief sentence,"Capture the key traits and motivations of the target audience, to inform story choices.",,4
150,Target Audience,Target Audience Detail Page,-,Key Aspects of Appeal Item,Target Audience Detail Page- -- Key Aspects of Appeal Item,1 sentence,Highlight the story elements that resonate with the target audience's preferences and expectations.,"The rich, immersive world-building and intricate magic system appeal to fantasy enthusiasts who crave deep lore and inventive new realities.",2
151,Target Audience,Target Audience Detail Page,-,Likes Item,Target Audience Detail Page- -- Likes Item,1 sentence,"Identify specific tropes, themes, or storytelling devices the audience enjoys.","This audience gravitates towards chosen one narratives, found family dynamics, and epic quests with high stakes and clear moral lines.",1
152,Target Audience,Target Audience Detail Page,-,Dislikes Item,Target Audience Detail Page- -- Dislikes Item,1 sentence,Call out elements or approaches that typically turn off or frustrate this audience.,"The target readers have little patience for overly dense prose, meandering plotlines, or protagonists without agency or growth.",1
153,Target Audience,Target Audience Detail Page,-,Interests Positive,Target Audience Detail Page- -- Interests Positive,1-3 words,List the audience's key interest areas that align with the story's content.,"Medieval history, Arthurian legend, high fantasy, world religions",1
154,Target Audience,Target Audience Detail Page,-,Interests Negative,Target Audience Detail Page- -- Interests Negative,1-3 words,Identify subjects or genres the audience tends to avoid or dislike.,"Steampunk, grimdark fantasy, sci-fi elements",1
155,Target Audience,Target Audience Detail Page,-,Additional Insights Item,Target Audience Detail Page- -- Additional Insights Item,1 sentence,"Reveal relevant details about the audience's reading habits, influences, or expectations.",Many in this audience discovered a love of fantasy through tabletop gaming and are eager for series with detailed magic systems they can imagine playing in.,2
156,Target Audience,Target Audience Detail Page,Reaction,Recommendation Quote,Target Audience Detail Page- Reaction- Recommendation Quote,1 sentence,Provide a hypothetical blurb in the target audience's voice suggesting if this story matches their interests.,Game of Thrones meets Dungeons & Dragons in this epic fantasy that delves deep into a medieval magic system for an immersive story you can practically smell.,2
157,Target Audience,Target Audience Detail Page,Reaction,Emotional,Target Audience Detail Page- Reaction- Emotional,1 brief paragraph,Describe the desired emotional experience and payoff for the target audience.,"Craves complex world-building, political intrigue, and morally ambiguous characters, seeks stories with high stakes and unpredictable plot twists that leave audiences on the edge of their seats and thrilled by each revelation.",3
158,Target Audience,Target Audience Detail Page,Reaction,Intellectual,Target Audience Detail Page- Reaction- Intellectual,1 brief paragraph,Articulate the story's desired intellectual impact or meaning for the target audience.,"Looks for narratives that thoughtfully explore power dynamics, faith vs. reason, and the cyclical nature of history, inviting readers to contemplate timely and timeless questions about human nature.",2
159,Theme,-,Theme Card,Theme Card Title,-- Theme Card- Theme Card Title,1 brief title,"Name the central thematic topic or question, to focus theme exploration.",,1
160,Theme,-,Theme Card,Theme Card Summary,-- Theme Card- Theme Card Summary,1 brief sentence,"State the main thematic assertion or lesson of the story, to express the story's meaning.",,1
161,Theme,Theme Detail Page - Progression Subpage,,Character Embodiments Item,Theme Detail Page - Progression Subpage- - Character Embodiments Item,1 sentence,"Identify characters who personify or grapple with the theme, illustrating its human impact.",The protagonist's struggle with addiction and the antagonist's enabling behavior embody the theme's exploration of codependency.,1
162,Theme,Theme Detail Page - Progression Subpage,,Key Moments Item,Theme Detail Page - Progression Subpage- - Key Moments Item,1 sentence,Highlight pivotal scenes or events that crystallize the theme's central questions or conflicts.,The midpoint confrontation where the protagonist hits rock bottom forces a reckoning with the destructive nature of their addiction.,1
163,Theme,Theme Detail Page - Progression Subpage,,Thematic Progression & Conflict Item,Theme Detail Page - Progression Subpage- - Thematic Progression & Conflict Item,1 sentence,Track how the theme evolves and creates friction over the course of the story.,"The protagonist's initial denial of their addiction gradually gives way to acceptance and a desire for change, while the antagonist's behavior shifts from supportive to controlling.",2
164,Theme,Theme Detail Page - Progression Subpage,,Symbols & Motifs Item,Theme Detail Page - Progression Subpage- - Symbols & Motifs Item,1 sentence,"Identify recurring images, objects, or ideas that encapsulate the theme's core meaning.","The protagonist's cherished childhood teddy bear, lost and found throughout the story, symbolizes the innocence and security they seek in their relationships.",1
165,Theme,Theme Detail Page - Progression Subpage,,Fictional Item,Theme Detail Page - Progression Subpage- - Fictional Item,1 sentence,Draw connections to classic or contemporary works that tackle similar thematic territory.,The theme of sacrificing personal freedom for societal stability resonates with dystopian classics like Brave New World and 1984.,1
166,Theme,Theme Detail Page - References Subpage,,Historical Item,Theme Detail Page - References Subpage- - Historical Item,1 sentence,"Mention real-world events, figures, or movements that parallel the story's central themes.",The story's exploration of worker exploitation echoes the struggles and triumphs of the early 20th century labor movement.,1
167,Transcript,-,Transcript Card,Transcript Card Summary,-- Transcript Card- Transcript Card Summary,1 brief sentence,"Distill the main takeaway or decision from a writer's conversation transcript, to spur further progress.",,0
168,User,User Profile,User Bio,Bio,User Profile- User Bio- Bio,1 paragraph,"Showcase a writer's unique differentiators, interests, experience, and perspective, to facilitate professional opportunities and connections.  Useful for agents, managers, and producers to better understand if the writer is a good fit for their needs (are they experienced enough, have the right perspective, etc).  Do *not* mention strengths or weaknesses.  This about what makes them unique as a writer, their perspective, their interests.  And it should not focus on their goals, as we cover those elsewhere.",,7
169,User,User Profile,User Goals,Writing Goals,User Profile- User Goals- Writing Goals,1 sentence to 1 paragraph,"Articulate the writer's aspirations and target audience, to guide project choice and development.  This should not be a bio, as we cover that elsewhere.  It should be focused on their creative and career goals.  This will help producers, agents, and managers to gauge if this writer is aiming for goals that align with their needs.",To become a staff writer for House of the Dragon and create a Sci-Fi Novel Series,5
170,-,-,Moment Card,Moment Title,-- Moment Card- Moment Title,1 brief title,"Title for a key scene, revelation, or turning point that advances character development or plot.",,0
171,Series,Series Detail Page - Arcs Subpage,-,Setup,Series Detail Page - Arcs Subpage- -- Setup,1 brief paragraph,Establish the state of the story world and the protagonist's starting point before the inciting incident.,"In the Seven Kingdoms of Westeros, noble houses vie for control of the Iron Throne, while ancient threats loom in the far North. We are introduced to the Stark family in Winterfell, living under the looming promise that ""Winter is Coming.""",2
172,Series,Series Detail Page - Arcs Subpage,-,Inciting Incident,Series Detail Page - Arcs Subpage- -- Inciting Incident,1 brief paragraph,Describe the event or turning point that kicks off the main conflict and sets the protagonist on their journey.,"The sudden death of King Robert Baratheon and the revelation of the true parentage of Queen Cersei's children plunges the Seven Kingdoms into chaos and war, with each of the main families making their claim for the throne.",1
173,Series,Series Detail Page - Arcs Subpage,-,Trials and Complications,Series Detail Page - Arcs Subpage- -- Trials and Complications,1 brief paragraph,"Outline the escalating challenges, obstacles, and revelations the protagonist faces in pursuit of their goal.","As the War of the Five Kings rages, our protagonists navigate complex political alliances, shocking betrayals, and the growing threat of the White Walkers beyond the Wall. The Stark children find themselves scattered and facing their own perilous journeys.",4
174,Series,Series Detail Page - Arcs Subpage,-,Midpoint Twist,Series Detail Page - Arcs Subpage- -- Midpoint Twist,1 brief paragraph,"Reveal the major reversal, game-changing information, or shift in power dynamics at the series' midpoint.","Daenerys Targaryen's dragons, long thought extinct, are hatched, shifting the balance of power. The Red Wedding shockingly eliminates key protagonists and shatters the Stark cause, marking a dark turn in the series.",1
175,Series,Series Detail Page - Arcs Subpage,-,Crisis Point,Series Detail Page - Arcs Subpage- -- Crisis Point,1 brief paragraph,"Bring the protagonist to their lowest point, where they face devastating losses or impossible odds.","The Wall falls to the Night King's army, the secret of Jon Snow's true parentage is revealed, throwing his alliance with Daenerys into question. Key characters like Cersei consolidate power, leaving our protagonists outmatched and divided on the eve of the final battle.",2
176,Series,Series Detail Page - Arcs Subpage,-,Climax,Series Detail Page - Arcs Subpage- -- Climax,1 brief paragraph,Stage the final confrontation with the antagonist and the resolution of the main conflict.,"In a devastating battle at Winterfell, the living unite to face the Night King and the army of the dead. The secret of Jon's claim to the Iron Throne leads to a tragic confrontation with Daenerys. The fate of the Seven Kingdoms is decided and a new rule begins.",1
177,Series,Series Detail Page - Arcs Subpage,-,Resolution,Series Detail Page - Arcs Subpage- -- Resolution,1 brief paragraph,Establish the new status quo of the story world and the protagonists' places in it after the climactic events.,"In the aftermath of the battle and the fall of King's Landing, a new council is formed to decide the fate of Westeros. Bran Stark becomes king, Sansa rules the North, Jon returns to the Night's Watch, and Arya sets out to explore the uncharted world, opening a new chapter for the realm.",1
178,Series,Series Detail Page - Arcs Subpage,-,Hook,Series Detail Page - Arcs Subpage- -- Hook,1 brief paragraph,"Tease the central conflict and themes of the series in an intriguing way, to draw viewers in.","In a world where power is everything and winter is coming, five royal families clash and scheme in a deadly game for control of the Seven Kingdoms, while an ancient threat gathers in the frozen wastes beyond the Wall.",1
179,Series,Series Detail Page - Arcs Subpage,Moment Card,Highlighted Moment,Series Detail Page - Arcs Subpage- Moment Card- Highlighted Moment,1 brief paragraph,Highlight pivotal scene or turning point that encapsulates the spirit of the series.,"Ned Stark's shocking execution signals that no one is safe in the treacherous world of Westeros, upending fantasy tropes and setting the stage for a story in which honor and goodness are not guarantees of survival.",1
180,Season,Season Detail Page - Arcs Subpage,-,Setup,Season Detail Page - Arcs Subpage- -- Setup,1 brief paragraph,Establish the state of the story world and the characters' goals and conflicts at the start of the season.,"With the death of King Robert Baratheon, a power vacuum opens in Westeros. Ned Stark arrives in King's Landing to serve as Hand of the King, while across the Narrow Sea, the last Targaryen heirs plot to reclaim their birthright.",1
181,Season,Season Detail Page - Arcs Subpage,-,Inciting Incident,Season Detail Page - Arcs Subpage- -- Inciting Incident,1 brief paragraph,Describe the event that sets the main plot of the season into motion and raises the stakes.,"Bran Stark is pushed from a tower after witnessing Jaime and Cersei Lannister in an incestuous tryst. This event, and Catelyn Stark's subsequent arrest of Tyrion Lannister, sparks the conflict between the Starks and Lannisters that will define the season.",1
182,Season,Season Detail Page - Arcs Subpage,-,Trials and Complications,Season Detail Page - Arcs Subpage- -- Trials and Complications,1 brief paragraph,Summarize the escalating challenges and revelations the characters face as they pursue their goals.,Ned Stark investigates the death of Jon Arryn and learns the truth about Cersei's children. Catelyn suspects the Lannisters of trying to murder Bran. Daenerys navigates the politics of the Dothraki to protect her unborn child. Jon Snow faces the harsh realities of life on the Wall.,2
183,Season,Season Detail Page - Arcs Subpage,-,Midpoint Twist,Season Detail Page - Arcs Subpage- -- Midpoint Twist,1 brief paragraph,Reveal the twist or reversal at the season's midpoint that raises the stakes and shifts the characters' trajectories.,"Ned Stark confronts Cersei with his knowledge of her children's true parentage, forcing her hand. Robert Baratheon is mortally wounded in a hunting accident, naming Ned as Regent and Protector of the Realm, further escalating the Lannister-Stark feud.",1
184,Season,Season Detail Page - Arcs Subpage,-,Crisis Point,Season Detail Page - Arcs Subpage- -- Crisis Point,1 brief paragraph,"Put the characters in their most desperate position, facing painful decisions and potential ruin.","Ned Stark, betrayed by Littlefinger and captured by the Lannisters, is forced to falsely confess to treason to protect his daughters. The Starks are scattered and under threat, with Robb calling the Northern banners to war. Drogo lies near death, leaving Daenerys vulnerable.",1
185,Season,Season Detail Page - Arcs Subpage,-,Climax,Season Detail Page - Arcs Subpage- -- Climax,1 brief paragraph,Stage the final confrontations and major turning points of the season's plot lines.,"Ned Stark is shockingly executed on Joffrey's orders, despite Cersei's intentions. Robb Stark is declared King in the North, formalizing the split of the kingdom. Daenerys emerges from Drogo's funeral pyre unburnt, with three newly-hatched dragons, shifting the power balance for the conflicts to come.",1
186,Season,Season Detail Page - Arcs Subpage,-,Resolution,Season Detail Page - Arcs Subpage- -- Resolution,1 brief paragraph,Establish the new normal and hint at the conflicts to come in the wake of the season's climactic events.,"With Ned Stark dead and the Lannisters in control of the throne, the Stark children must navigate a dangerous new reality. Jon Snow ventures beyond the Wall, hinting at the looming supernatural threat. Daenerys, with her young dragons, sets her sights on retaking the Seven Kingdoms, setting the stage for the wars to come.",2
187,Season,Season Detail Page - Arcs Subpage,-,Hook,Season Detail Page - Arcs Subpage- -- Hook,1 brief paragraph,Tease the main conflicts and power dynamics that will drive the season's plot.,"In the wake of King Robert's death, the noble houses of Westeros maneuver for control of the Iron Throne. Alliances are made and broken, secrets are revealed, and the struggle for power turns bloody, while whispers of an ancient evil gather in the North.",2
188,Season,Season Detail Page - Arcs Subpage,Moment Card,Highlighted Moment,Season Detail Page - Arcs Subpage- Moment Card- Highlighted Moment,1 brief paragraph,Highlight a key scene or revelation that captures the essence of the season's conflicts and themes.,"Ned Stark's execution, despite his daughters' pleas and his false confession, shatters any illusions of a just world and sets the stage for a story in which honor is oft met with cruelty, and no character is safe from the brutal consequences of the game of thrones.",1
,,,,,- - ,,,,0
,,,,,- - ,,,,0
,,,,,- - ,,,,0
,,,,,- - ,,,,0
,,,,,- - ,,,,0
,,,,,- - ,,,,0
,,,,,- - ,,,,0
